#YY,MM,DD,hh,mm,WDIR,WSPD,GDR,GST,GTIME
2012,1,4,12,50,194,10.1,191,12.3,1224
2012,1,4,13,0,193,10.1,999,99,9999
2012,1,4,13,10,195,10.4,999,99,9999
2012,1,4,13,20,193,10.5,999,99,9999
2012,1,4,13,30,193,10.1,999,99,9999
2012,1,4,13,40,193,9.9,999,99,9999
2012,1,4,13,50,193,10.1,194,12.9,1341
2012,1,4,14,0,195,10.1,999,99,9999
2012,1,4,14,10,197,10.1,999,99,9999
2012,1,4,14,20,197,10,999,99,9999
2012,1,4,14,30,198,9.8,999,99,9999
2012,1,4,14,40,199,10.3,999,99,9999
2012,1,4,14,50,201,9.7,188,12.4,1350
2012,1,4,15,0,201,9.9,999,99,9999
2012,1,4,15,10,202,10,999,99,9999
2012,1,4,15,20,201,10,999,99,9999
2012,1,4,15,30,200,9.8,999,99,9999
2012,1,4,15,40,200,9.3,999,99,9999
2012,1,4,15,50,201,9.6,198,12.6,1512
2012,1,4,16,0,203,9.7,999,99,9999
2012,1,4,16,10,204,9.6,999,99,9999
2012,1,4,16,20,206,9.4,999,99,9999
2012,1,4,16,30,208,9,999,99,9999
2012,1,4,16,40,213,8.3,999,99,9999
2012,1,4,16,50,229,9.1,204,12,1553
2012,1,4,17,0,257,7.8,999,99,9999
2012,1,4,17,10,258,7,999,99,9999
2012,1,4,17,20,256,5.4,999,99,9999
2012,1,4,17,30,257,6,999,99,9999
2012,1,4,17,40,248,6.1,999,99,9999
2012,1,4,17,50,248,5.6,251,10.1,1650
2012,1,4,18,0,239,4.7,999,99,9999
2012,1,4,18,10,232,4.4,999,99,9999
2012,1,4,18,20,220,4.3,999,99,9999
2012,1,4,18,30,213,4.1,999,99,9999
2012,1,4,18,40,210,4.3,999,99,9999
2012,1,4,18,50,207,4.1,246,6.2,1750
2012,1,4,19,0,203,3.8,999,99,9999
2012,1,4,19,10,202,4.1,999,99,9999
2012,1,4,19,20,200,4,999,99,9999
2012,1,4,19,30,190,4,999,99,9999
2012,1,4,19,40,186,4.4,999,99,9999
2012,1,4,19,50,182,4.5,221,5.7,1903
2012,1,4,20,0,178,4.7,999,99,9999
2012,1,4,20,10,175,4.8,999,99,9999
2012,1,4,20,20,190,4.6,999,99,9999
2012,1,4,20,30,192,4.5,999,99,9999
2012,1,4,20,40,192,4.4,999,99,9999
2012,1,4,20,50,189,4.1,206,5.8,2012
2012,1,4,21,0,192,4.2,999,99,9999
2012,1,4,21,10,198,4.3,999,99,9999
2012,1,4,21,20,200,4.4,999,99,9999
2012,1,4,21,30,202,4.4,999,99,9999
2012,1,4,21,40,205,4.5,999,99,9999
2012,1,4,21,50,210,4.7,221,6.3,2145
2012,1,4,22,0,210,4.7,999,99,9999
2012,1,4,22,10,210,4.4,999,99,9999
2012,1,4,22,20,215,4.5,999,99,9999
2012,1,4,22,30,219,4.4,999,99,9999
2012,1,4,22,40,224,4.6,999,99,9999
2012,1,4,22,50,226,4.7,219,6.3,2151
2012,1,4,23,0,229,4.7,999,99,9999
2012,1,4,23,10,229,4.7,999,99,9999
2012,1,4,23,20,231,4.7,999,99,9999
2012,1,4,23,30,232,4.5,999,99,9999
2012,1,4,23,40,238,4.7,999,99,9999
2012,1,4,23,50,239,4.5,241,6.6,2313
2012,1,5,0,0,232,4,999,99,9999
2012,1,5,0,10,237,4,999,99,9999
2012,1,5,0,20,241,4.2,999,99,9999
2012,1,5,0,30,239,4,999,99,9999
2012,1,5,0,40,237,4,999,99,9999
